16/07/54770,19041.92000000
11/04/54773,19164.37000000
06/01/54776,19204.35000000
02/10/54778,19570.40000000
28/06/54781,19329.72000000
24/03/54784,20080.07000000
19/12/54786,20771.59000000
14/09/54789,20295.11000000
10/06/54792,20591.84000000
07/03/54795,20809.67000000
01/12/54797,20627.48000000
27/08/54800,20490.74000000
24/05/54803,20483.62000000
17/02/54806,20151.84000000
13/11/54808,20207.82000000
10/08/54811,21148.52000000
06/05/54814,21299.37000000
30/01/54817,20905.58000000
27/10/54819,20591.13000000
23/07/54822,18547.23000000
18/04/54825,15922.81000000
13/01/54828,17601.15000000
09/10/54830,17070.31000000
05/07/54833,16812.08000000
31/03/54836,16329.85000000
26/12/54838,16619.46000000
21/09/54841,16900.57000000
17/06/54844,16662.76000000
14/03/54847,16692.56000000
08/12/54849,16700.45000000
03/09/54852,16700.68000000
31/05/54855,16280.23000000
24/02/54858,15781.29000000
20/11/54860,16226.94000000
17/08/54863,16603.11000000
13/05/54866,16598.95000000
06/02/54869,16522.14000000
03/11/54871,16458.57000000
30/07/54874,16428.78000000
25/04/54877,16212.91000000
20/01/54880,16442.53000000
16/10/54882,17163.64000000
12/07/54885,16977.37000000
07/04/54888,17092.74000000
02/01/54891,16885.20000000
28/09/54893,17105.70000000
24/06/54896,16966.35000000
21/03/54899,17088.96000000
16/12/54901,16836.64000000
11/09/54904,17224.10000000
08/06/54907,17128.56000000
04/03/54910,17127.49000000
28/11/54912,17085.05000000
25/08/54915,17209.83000000
21/05/54918,17774.70000000
14/02/54921,17803.15000000
11/11/54923,17356.34000000
07/08/54926,16632.12000000
03/05/54929,16776.52000000
28/01/54932,16738.21000000
24/10/54934,16438.88000000
20/07/54937,16895.56000000
15/04/54940,16824.67000000
10/01/54943,16821.43000000
06/10/54945,16778.50000000
02/07/54948,16836.12000000
29/03/54951,16832.11000000
23/12/54953,16919.39000000
18/09/54956,16706.36000000
15/06/54959,16547.31000000
11/03/54962,16633.47000000
05/12/54964,16607.48000000
01/09/54967,16542.40000000
28/05/54970,16616.75000000
21/02/54973,16672.87000000
18/11/54975,16675.18000000
14/08/54978,16850.36000000
10/05/54981,16831.85000000
04/02/54984,16950.65000000
31/10/54986,16943.57000000
27/07/54989,17127.83000000
22/04/54992,17178.26000000
17/01/54995,17440.66000000
13/10/54997,17943.26000000
10/07/55000,18846.62000000
06/04/55003,19930.01000000
31/12/55005,20954.92000000
26/09/55008,20871.50000000
23/06/55011,21185.65000000
19/03/55014,21134.81000000
13/12/55016,20677.47000000
09/09/55019,21071.59000000
05/06/55022,22667.21000000
01/03/55025,22783.55000000
26/11/55027,22707.88000000
22/08/55030,22916.45000000
18/05/55033,22632.89000000
12/02/55036,23060.94000000
08/11/55038,23009.65000000
04/08/55041,23074.16000000
30/04/55044,23022.60000000
25/01/55047,23742.30000000
21/10/55049,22826.15000000
17/07/55052,23125.13000000
13/04/55055,23732.66000000
07/01/55058,23488.94000000
03/10/55060,23431.90000000
30/06/55063,23326.84000000
26/03/55066,22932.91000000
20/12/55068,22762.52000000
16/09/55071,23240.46000000
12/06/55074,22963.00000000
08/03/55077,21796.35000000
03/12/55079,21625.19000000
29/08/55082,21862.55000000
25/05/55085,21783.54000000
19/02/55088,21773.97000000
15/11/55090,22199.84000000
11/08/55093,24324.05000000
07/05/55096,23517.72000000
01/02/55099,24569.97000000
29/10/55101,24631.95000000
25/07/55104,24271.76000000
21/04/55107,24842.20000000
15/01/55110,24452.16000000
11/10/55112,24182.21000000
08/07/55115,23940.20000000
03/04/55118,23185.29000000
28/12/55120,23157.07000000
24/09/55123,23554.85000000
20/06/55126,23492.09000000
16/03/55129,23141.57000000
11/12/55131,23628.97000000
06/09/55134,23465.32000000
02/06/55137,22354.34000000
27/02/55140,22346.57000000
23/11/55142,22430.24000000
19/08/55145,22410.00000000
15/05/55148,22197.96000000
09/02/55151,21705.44000000
05/11/55153,20362.22000000
01/08/55156,20150.69000000
28/04/55159,20455.73000000
22/01/55162,21997.11000000
18/10/55164,24113.48000000
15/07/55167,24670.41000000
10/04/55170,24285.66000000
04/01/55173,24998.78000000
01/10/55175,27395.13000000
27/06/55178,26907.49000000
23/03/55181,27972.87000000
18/12/55183,27717.01000000
13/09/55186,28105.47000000
09/06/55189,27250.97000000
05/03/55192,28295.41000000
30/11/55194,27454.47000000
26/08/55197,27462.95000000
22/05/55200,27968.05000000
16/02/55203,27124.91000000
12/11/55205,27261.07000000
08/08/55208,28348.60000000
05/05/55211,28028.53000000
29/01/55214,28465.36000000
25/10/55216,28452.73000000
22/07/55219,28171.87000000
17/04/55222,27800.00000000
11/01/55225,28165.47000000
08/10/55227,28170.01000000
04/07/55230,28033.82000000
30/03/55233,27906.33000000
25/12/55235,27938.38000000
20/09/55238,28323.76000000
16/06/55241,29637.34000000
12/03/55244,30200.42000000
07/12/55246,29888.07000000
02/09/55249,30373.84000000
29/05/55252,30466.93000000
23/02/55255,30295.09000000
19/11/55257,30304.65000000
15/08/55260,29430.27000000
12/05/55263,30380.01000000
05/02/55266,28797.10000000
01/11/55268,28243.65000000
29/07/55271,27262.84000000
24/04/55274,27816.85000000
18/01/55277,27590.60000000
15/10/55279,27510.93000000
11/07/55282,28300.79000000
06/04/55285,28415.29000000
01/01/55288,29472.77000000
27/09/55290,29311.70000000
23/06/55293,29230.45000000
19/03/55296,29233.21000000
14/12/55298,28068.26000000
10/09/55301,28669.86000000
06/06/55304,29026.16000000
03/03/55307,28838.16000000
27/11/55309,29505.61000000
23/08/55312,28848.20000000
20/05/55315,28430.10000000
13/02/55318,27668.79000000
09/11/55320,27628.27000000
06/08/55323,27598.75000000
02/05/55326,26968.62000000
26/01/55329,26795.01000000
23/10/55331,26775.28000000
19/07/55334,26917.62000000
14/04/55337,27162.14000000
09/01/55340,27033.84000000
05/10/55342,27405.61000000
01/07/55345,26821.28000000
27/03/55348,26880.26000000
22/12/55350,27102.43000000
17/09/55353,26747.78000000
13/06/55356,26849.27000000
10/03/55359,27219.61000000
04/12/55361,26329.01000000
30/08/55364,26473.79000000
27/05/55367,26705.92000000
20/02/55370,26854.27000000
16/11/55372,28065.00000000
13/08/55375,27736.40000000
09/05/55378,27694.40000000
02/02/55381,27210.35000000
30/10/55383,26817.93000000
26/07/55386,27242.59000000
21/04/55389,27069.22000000
16/01/55392,27115.21000000
12/10/55394,25728.20000000
08/07/55397,27230.08000000
04/04/55400,26339.34000000
30/12/55402,26498.61000000
25/09/55405,26477.81000000
21/06/55408,25841.21000000
18/03/55411,25925.55000000
12/12/55413,25905.19000000
07/09/55416,25934.25000000
04/06/55419,25128.60000000
28/02/55422,25598.49000000
24/11/55424,26345.00000000
21/08/55427,26516.99000000
17/05/55430,26339.97000000
10/02/55433,26844.35000000
07/11/55435,28307.99000000
03/08/55438,29993.89000000
29/04/55441,29884.92000000
24/01/55444,30688.50000000
20/10/55446,30527.43000000
16/07/55449,30462.66000000
11/04/55452,30267.99000000
06/01/55455,30692.44000000
02/10/55457,30077.41000000
28/06/55460,30447.31000000
25/03/55463,30472.00000000
19/12/55465,30585.90000000
14/09/55468,30617.03000000
11/06/55471,31156.20000000
07/03/55474,30766.51000000
01/12/55476,30504.81000000
28/08/55479,29895.43000000
24/05/55482,30344.70000000
17/02/55485,30284.63000000
14/11/55487,30160.71000000
10/08/55490,30411.57000000
06/05/55493,30622.10000000
31/01/55496,30380.00000000
27/10/55498,31454.23000000
24/07/55501,30312.01000000
19/04/55504,30289.52000000
14/01/55507,30231.99000000
10/10/55509,30138.00000000
06/07/55512,29859.13000000
02/04/55515,29909.21000000
27/12/55517,29800.00000000
22/09/55520,29901.72000000
19/06/55523,29794.00000000
15/03/55526,30083.75000000
09/12/55528,29176.50000000
05/09/55531,29228.91000000
01/06/55534,29351.96000000
25/02/55537,29222.78000000
22/11/55539,29314.14000000
18/08/55542,29352.90000000
14/05/55545,29281.09000000
08/02/55548,29232.25000000
04/11/55550,29705.99000000
